strainID,genus,species
HAMBI-0006,Pseudomonas,putida
HAMBI-0097,Acinetobacter,lwoffii
HAMBI-0105,Agrobacterium,tumefaciens
HAMBI-0262,Brevundimonas,bullata
HAMBI-0403,Comamonas,testosteroni
HAMBI-1279,Hafnia,alvei
HAMBI-1287,Citrobacter,koseri
HAMBI-1292,Morganella,morganii
HAMBI-1299,Kluyvera,intermedia
HAMBI-1842,Sphingobium,yanoikuyae
HAMBI-1896,Sphingobacterium,spiritivorum
HAMBI-1923,Myroides,odoratus
HAMBI-1972,Aeromonas,caviae
HAMBI-1977,Pseudomonas,chlororaphis
HAMBI-1988,Chitinophaga,sancti
HAMBI-2159,Paraburkholderia,caryophylli
HAMBI-2160,Bordetella,avium
HAMBI-2164,Cupriavidus,necator
HAMBI-2443,Paracoccus,denitrificans
HAMBI-2494,Paraburkholderia,kururiensis
HAMBI-2659,Stenotrophomonas,maltophilia
HAMBI-2792,Moraxella,canis
HAMBI-3031,Niabella,yanshanensis
HAMBI-3237,Microvirga,lotononidis
